,QPS
Sat Feb 01 07:36:00 +0000 2020,33
Sat Feb 01 07:36:01 +0000 2020,44
Sat Feb 01 07:36:02 +0000 2020,44
Sat Feb 01 07:36:03 +0000 2020,34
Sat Feb 01 07:36:04 +0000 2020,51
Sat Feb 01 07:36:05 +0000 2020,40
Sat Feb 01 07:36:06 +0000 2020,38
Sat Feb 01 07:36:07 +0000 2020,33
Sat Feb 01 07:36:08 +0000 2020,44
Sat Feb 01 07:36:09 +0000 2020,43
Sat Feb 01 07:36:10 +0000 2020,31
Sat Feb 01 07:36:11 +0000 2020,34
Sat Feb 01 07:36:12 +0000 2020,45
Sat Feb 01 07:36:13 +0000 2020,33
Sat Feb 01 07:36:14 +0000 2020,41
Sat Feb 01 07:36:15 +0000 2020,40
Sat Feb 01 07:36:16 +0000 2020,38
Sat Feb 01 07:36:17 +0000 2020,36
Sat Feb 01 07:36:18 +0000 2020,48
Sat Feb 01 07:36:19 +0000 2020,39
Sat Feb 01 07:36:20 +0000 2020,38
Sat Feb 01 07:36:21 +0000 2020,45
Sat Feb 01 07:36:22 +0000 2020,33
Sat Feb 01 07:36:23 +0000 2020,30
Sat Feb 01 07:36:24 +0000 2020,29
Sat Feb 01 07:36:25 +0000 2020,41
Sat Feb 01 07:36:26 +0000 2020,40
Sat Feb 01 07:36:27 +0000 2020,25
Sat Feb 01 07:36:28 +0000 2020,41
Sat Feb 01 07:36:29 +0000 2020,45
Sat Feb 01 07:36:30 +0000 2020,48
Sat Feb 01 07:36:31 +0000 2020,46
Sat Feb 01 07:36:32 +0000 2020,35
Sat Feb 01 07:36:33 +0000 2020,35
Sat Feb 01 07:36:34 +0000 2020,30
Sat Feb 01 07:36:35 +0000 2020,37
Sat Feb 01 07:36:36 +0000 2020,45
Sat Feb 01 07:36:37 +0000 2020,26
Sat Feb 01 07:36:38 +0000 2020,47
Sat Feb 01 07:36:39 +0000 2020,29
Sat Feb 01 07:36:40 +0000 2020,41
Sat Feb 01 07:36:41 +0000 2020,28
Sat Feb 01 07:36:42 +0000 2020,38
Sat Feb 01 07:36:43 +0000 2020,28
Sat Feb 01 07:36:44 +0000 2020,34
Sat Feb 01 07:36:45 +0000 2020,27
Sat Feb 01 07:36:46 +0000 2020,29
Sat Feb 01 07:36:47 +0000 2020,43
Sat Feb 01 07:36:48 +0000 2020,52
Sat Feb 01 07:36:49 +0000 2020,29
Sat Feb 01 07:36:50 +0000 2020,36
Sat Feb 01 07:36:51 +0000 2020,28
Sat Feb 01 07:36:52 +0000 2020,34
Sat Feb 01 07:36:53 +0000 2020,23
Sat Feb 01 07:36:54 +0000 2020,39
Sat Feb 01 07:36:55 +0000 2020,44
Sat Feb 01 07:36:56 +0000 2020,36
Sat Feb 01 07:36:57 +0000 2020,37
Sat Feb 01 07:36:58 +0000 2020,54
Sat Feb 01 07:36:59 +0000 2020,33
Sat Feb 01 07:46:00 +0000 2020,39
Sat Feb 01 07:46:01 +0000 2020,49
Sat Feb 01 07:46:02 +0000 2020,38
Sat Feb 01 07:46:03 +0000 2020,33
Sat Feb 01 07:46:04 +0000 2020,37
Sat Feb 01 07:46:05 +0000 2020,39
Sat Feb 01 07:46:06 +0000 2020,32
Sat Feb 01 07:46:07 +0000 2020,38
Sat Feb 01 07:46:08 +0000 2020,44
Sat Feb 01 07:46:09 +0000 2020,47
Sat Feb 01 07:46:10 +0000 2020,40
Sat Feb 01 07:46:11 +0000 2020,42
Sat Feb 01 07:46:12 +0000 2020,30
Sat Feb 01 07:46:13 +0000 2020,44
Sat Feb 01 07:46:14 +0000 2020,44
Sat Feb 01 07:46:15 +0000 2020,41
Sat Feb 01 07:46:16 +0000 2020,44
Sat Feb 01 07:46:17 +0000 2020,36
Sat Feb 01 07:46:18 +0000 2020,33
Sat Feb 01 07:46:19 +0000 2020,30
Sat Feb 01 07:46:20 +0000 2020,41
Sat Feb 01 07:46:21 +0000 2020,28
Sat Feb 01 07:46:22 +0000 2020,36
Sat Feb 01 07:46:23 +0000 2020,36
Sat Feb 01 07:46:24 +0000 2020,31
Sat Feb 01 07:46:25 +0000 2020,38
Sat Feb 01 07:46:26 +0000 2020,45
Sat Feb 01 07:46:27 +0000 2020,32
Sat Feb 01 07:46:28 +0000 2020,24
Sat Feb 01 07:46:29 +0000 2020,28
Sat Feb 01 07:46:30 +0000 2020,35
Sat Feb 01 07:46:31 +0000 2020,39
Sat Feb 01 07:46:32 +0000 2020,43
Sat Feb 01 07:46:33 +0000 2020,36
Sat Feb 01 07:46:34 +0000 2020,46
Sat Feb 01 07:46:35 +0000 2020,34
Sat Feb 01 07:46:36 +0000 2020,50
Sat Feb 01 07:46:37 +0000 2020,45
Sat Feb 01 07:46:38 +0000 2020,34
Sat Feb 01 07:46:39 +0000 2020,38
Sat Feb 01 07:46:40 +0000 2020,36
Sat Feb 01 07:46:41 +0000 2020,30
Sat Feb 01 07:46:42 +0000 2020,31
Sat Feb 01 07:46:43 +0000 2020,39
Sat Feb 01 07:46:44 +0000 2020,42
Sat Feb 01 07:46:45 +0000 2020,40
Sat Feb 01 07:46:46 +0000 2020,29
Sat Feb 01 07:46:47 +0000 2020,34
Sat Feb 01 07:46:48 +0000 2020,44
Sat Feb 01 07:46:49 +0000 2020,31
Sat Feb 01 07:46:50 +0000 2020,34
Sat Feb 01 07:46:51 +0000 2020,40
Sat Feb 01 07:46:52 +0000 2020,34
Sat Feb 01 07:46:53 +0000 2020,44
Sat Feb 01 07:46:54 +0000 2020,42
Sat Feb 01 07:46:55 +0000 2020,45
Sat Feb 01 07:46:56 +0000 2020,38
Sat Feb 01 07:46:57 +0000 2020,42
Sat Feb 01 07:46:58 +0000 2020,50
Sat Feb 01 07:46:59 +0000 2020,33
Sat Feb 01 07:37:00 +0000 2020,23
Sat Feb 01 07:37:01 +0000 2020,31
Sat Feb 01 07:37:02 +0000 2020,28
Sat Feb 01 07:37:03 +0000 2020,30
Sat Feb 01 07:37:04 +0000 2020,40
Sat Feb 01 07:37:05 +0000 2020,44
Sat Feb 01 07:37:06 +0000 2020,49
Sat Feb 01 07:37:07 +0000 2020,33
Sat Feb 01 07:37:08 +0000 2020,39
Sat Feb 01 07:37:09 +0000 2020,44
Sat Feb 01 07:37:10 +0000 2020,47
Sat Feb 01 07:37:11 +0000 2020,33
Sat Feb 01 07:37:12 +0000 2020,34
Sat Feb 01 07:37:13 +0000 2020,34
Sat Feb 01 07:37:14 +0000 2020,30
Sat Feb 01 07:37:15 +0000 2020,40
Sat Feb 01 07:37:16 +0000 2020,32
Sat Feb 01 07:37:17 +0000 2020,40
Sat Feb 01 07:37:18 +0000 2020,28
Sat Feb 01 07:37:19 +0000 2020,36
Sat Feb 01 07:37:20 +0000 2020,52
Sat Feb 01 07:37:21 +0000 2020,46
Sat Feb 01 07:37:22 +0000 2020,57
Sat Feb 01 07:37:23 +0000 2020,30
Sat Feb 01 07:37:24 +0000 2020,54
Sat Feb 01 07:37:25 +0000 2020,29
Sat Feb 01 07:37:26 +0000 2020,42
Sat Feb 01 07:37:27 +0000 2020,43
Sat Feb 01 07:37:28 +0000 2020,35
Sat Feb 01 07:37:29 +0000 2020,40
Sat Feb 01 07:37:30 +0000 2020,24
Sat Feb 01 07:37:31 +0000 2020,30
Sat Feb 01 07:37:32 +0000 2020,37
Sat Feb 01 07:37:33 +0000 2020,32
Sat Feb 01 07:37:34 +0000 2020,32
Sat Feb 01 07:37:35 +0000 2020,31
Sat Feb 01 07:37:36 +0000 2020,34
Sat Feb 01 07:37:37 +0000 2020,39
Sat Feb 01 07:37:38 +0000 2020,34
Sat Feb 01 07:37:39 +0000 2020,35
Sat Feb 01 07:37:40 +0000 2020,32
Sat Feb 01 07:37:41 +0000 2020,39
Sat Feb 01 07:37:42 +0000 2020,52
Sat Feb 01 07:37:43 +0000 2020,32
Sat Feb 01 07:37:44 +0000 2020,43
Sat Feb 01 07:37:45 +0000 2020,46
Sat Feb 01 07:37:46 +0000 2020,38
Sat Feb 01 07:37:47 +0000 2020,42
Sat Feb 01 07:37:48 +0000 2020,42
Sat Feb 01 07:37:49 +0000 2020,43
Sat Feb 01 07:37:50 +0000 2020,31
Sat Feb 01 07:37:51 +0000 2020,24
Sat Feb 01 07:37:52 +0000 2020,31
Sat Feb 01 07:37:53 +0000 2020,42
Sat Feb 01 07:37:54 +0000 2020,29
Sat Feb 01 07:37:55 +0000 2020,26
Sat Feb 01 07:37:56 +0000 2020,35
Sat Feb 01 07:37:57 +0000 2020,43
Sat Feb 01 07:37:58 +0000 2020,30
Sat Feb 01 07:37:59 +0000 2020,31
Sat Feb 01 07:43:00 +0000 2020,33
Sat Feb 01 07:43:01 +0000 2020,35
Sat Feb 01 07:43:02 +0000 2020,48
Sat Feb 01 07:43:03 +0000 2020,28
Sat Feb 01 07:43:04 +0000 2020,37
Sat Feb 01 07:43:05 +0000 2020,35
Sat Feb 01 07:43:06 +0000 2020,31
Sat Feb 01 07:43:07 +0000 2020,37
Sat Feb 01 07:43:08 +0000 2020,29
Sat Feb 01 07:43:09 +0000 2020,32
Sat Feb 01 07:43:10 +0000 2020,43
Sat Feb 01 07:43:11 +0000 2020,38
Sat Feb 01 07:43:12 +0000 2020,42
Sat Feb 01 07:43:13 +0000 2020,41
Sat Feb 01 07:43:14 +0000 2020,38
Sat Feb 01 07:43:15 +0000 2020,31
Sat Feb 01 07:43:16 +0000 2020,47
Sat Feb 01 07:43:17 +0000 2020,39
Sat Feb 01 07:43:18 +0000 2020,36
Sat Feb 01 07:43:19 +0000 2020,29
Sat Feb 01 07:43:20 +0000 2020,38
Sat Feb 01 07:43:21 +0000 2020,32
Sat Feb 01 07:43:22 +0000 2020,35
Sat Feb 01 07:43:23 +0000 2020,36
Sat Feb 01 07:43:24 +0000 2020,47
Sat Feb 01 07:43:25 +0000 2020,31
Sat Feb 01 07:43:26 +0000 2020,30
Sat Feb 01 07:43:27 +0000 2020,40
Sat Feb 01 07:43:28 +0000 2020,32
Sat Feb 01 07:43:29 +0000 2020,36
Sat Feb 01 07:43:30 +0000 2020,40
Sat Feb 01 07:43:31 +0000 2020,32
Sat Feb 01 07:43:32 +0000 2020,43
Sat Feb 01 07:43:33 +0000 2020,32
Sat Feb 01 07:43:34 +0000 2020,28
Sat Feb 01 07:43:35 +0000 2020,47
Sat Feb 01 07:43:36 +0000 2020,43
Sat Feb 01 07:43:37 +0000 2020,34
Sat Feb 01 07:43:38 +0000 2020,41
Sat Feb 01 07:43:39 +0000 2020,43
Sat Feb 01 07:43:40 +0000 2020,40
Sat Feb 01 07:43:41 +0000 2020,37
Sat Feb 01 07:43:42 +0000 2020,50
Sat Feb 01 07:43:43 +0000 2020,46
Sat Feb 01 07:43:44 +0000 2020,38
Sat Feb 01 07:43:45 +0000 2020,42
Sat Feb 01 07:43:46 +0000 2020,41
Sat Feb 01 07:43:47 +0000 2020,37
Sat Feb 01 07:43:48 +0000 2020,43
Sat Feb 01 07:43:49 +0000 2020,40
Sat Feb 01 07:43:50 +0000 2020,43
Sat Feb 01 07:43:51 +0000 2020,36
Sat Feb 01 07:43:52 +0000 2020,39
Sat Feb 01 07:43:53 +0000 2020,31
Sat Feb 01 07:43:54 +0000 2020,32
Sat Feb 01 07:43:55 +0000 2020,39
Sat Feb 01 07:43:56 +0000 2020,45
Sat Feb 01 07:43:57 +0000 2020,40
Sat Feb 01 07:43:58 +0000 2020,38
Sat Feb 01 07:43:59 +0000 2020,44
Sat Feb 01 07:57:00 +0000 2020,37
Sat Feb 01 07:57:01 +0000 2020,35
Sat Feb 01 07:57:02 +0000 2020,27
Sat Feb 01 07:57:03 +0000 2020,36
Sat Feb 01 07:57:04 +0000 2020,34
Sat Feb 01 07:57:05 +0000 2020,31
Sat Feb 01 07:57:06 +0000 2020,37
Sat Feb 01 07:57:07 +0000 2020,31
Sat Feb 01 07:57:08 +0000 2020,42
Sat Feb 01 07:57:09 +0000 2020,42
Sat Feb 01 07:57:10 +0000 2020,32
Sat Feb 01 07:57:11 +0000 2020,30
Sat Feb 01 07:57:12 +0000 2020,27
Sat Feb 01 07:57:13 +0000 2020,31
Sat Feb 01 07:57:14 +0000 2020,34
Sat Feb 01 07:57:15 +0000 2020,26
Sat Feb 01 07:57:16 +0000 2020,39
Sat Feb 01 07:57:17 +0000 2020,36
